Chem_Name,SMI,INCHI,INCHIKEY,NeglogLD50,Source,CF_Bonds
"Glutaronitrile, perfluoro-",N#CC(F)(F)C(F)(F)C(F)(F)C#N,"InChI=1S/C5F6N2/c6-3(7,1-12)5(10,11)4(8,9)2-13",YDLOFKOZJGMQBZ-UHFFFAOYSA-N,1.8905005526317205,CATMOS,6
Thiazafluron [BSI:ISO],CNC(=O)N(C)c1nnc(C(F)(F)F)s1,"InChI=1S/C6H7F3N4OS/c1-10-4(14)13(2)5-12-11-3(15-5)6(7,8)9/h1-2H3,(H,10,14)",BBJPZPLAZVZTGR-UHFFFAOYSA-N,2.936546287308756,CATMOS,3
"Ethyl 4,4,4-trifluoroacetoacetate",CCOC(=O)CC(=O)C(F)(F)F,"InChI=1S/C6H7F3O3/c1-2-12-5(11)3-4(10)6(7,8)9/h2-3H2,1H3",OCJKUQIPRNZDTK-UHFFFAOYSA-N,2.333118339875448,CATMOS,3
Trifluperidol,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,"InChI=1S/C22H23F4NO2/c23-19-8-6-16(7-9-19)20(28)5-2-12-27-13-10-21(29,11-14-27)17-3-1-4-18(15-17)22(24,25)26/h1,3-4,6-9,15,29H,2,5,10-14H2",GPMXUUPHFNMNDH-UHFFFAOYSA-N,3.466044200529321,CATMOS,4
"Theophylline, 7-(5-(4-(m-trifluoromethylphenyl)-1-piperazinyl)pentyl)-, dihydrochloride",Cn1c(=O)c2c(ncn2CCCCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)n(C)c1=O,"InChI=1S/C23H29F3N6O2/c1-28-20-19(21(33)29(2)22(28)34)32(16-27-20)10-5-3-4-9-30-11-13-31(14-12-30)18-8-6-7-17(15-18)23(24,25)26/h6-8,15-16H,3-5,9-14H2,1-2H3",QAIFLILFSPCOEE-UHFFFAOYSA-N,2.860355250941601,CATMOS,3
Fluoxetine hydrochloride,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,"InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3",RTHCYVBBDHJXIQ-UHFFFAOYSA-N,2.835285010747258,CATMOS,3
Acifluorfen,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)",NUFNQYOELLVIPL-UHFFFAOYSA-N,2.4215787099684265,CATMOS,3
,COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,"InChI=1S/C24H28F3N3O3/c1-14-11-20(32-4)30-22-18(29-15(2)7-6-10-28)13-19(31-3)23(21(14)22)33-17-9-5-8-16(12-17)24(25,26)27/h5,8-9,11-13,15,29H,6-7,10,28H2,1-4H3",LBHLFPGPEGDCJG-UHFFFAOYSA-N,3.046956407853773,CATMOS,3
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,2.3819674159687434,CATMOS,2
"Butanoic acid, 4-(((3-(trifluoromethyl)phenyl)sulfonyl)amino)-",O=C(O)CCCNS(=O)(=O)c1cccc(C(F)(F)F)c1,"InChI=1S/C11H12F3NO4S/c12-11(13,14)8-3-1-4-9(7-8)20(18,19)15-6-2-5-10(16)17/h1,3-4,7,15H,2,5-6H2,(H,16,17)",YMRXWPCWJDWPCO-UHFFFAOYSA-N,1.493109185705743,CATMOS,3
