SMILES,MHFP,first_class,second_class,type,num_id,chain_type,carbon_chain_length,ring_size,functional_group,CF2,CF3,CFX,cf_length,group_id,predicted_toxicity,Uncertainty
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,[111397597 104111782  97181807 ...  57148411  43796935 151237944],Other PFASs,Si PFASs,4,1,straight,12.0,,Halogen,9,1,0,10,Other PFASs_Si PFASs_straight_12.0_Halogen_NA_CF2_9_CF3_1_CFX_0,3.5220356,0.25215048
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[217845993 215423514 107816900 ...  88808901  43796935  98778836],PFAA precursors,PolyFEACs,2,2,branched,31.0,,Alcohol,6,2,1,9,PFAA precursors_PolyFEACs_branched_31.0_Alcohol_NA_CF2_6_CF3_2_CFX_1,8.340972,0.25656623
FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  12884121 ... 212683906  23638503  71007262],PFAA precursors,HFEs,2,3,straight,14.0,,Ether,5,5,4,14,PFAA precursors_HFEs_straight_14.0_Ether_NA_CF2_5_CF3_5_CFX_4,7.4746675,0.29512185
CCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,2,4,straight,14.0,,Double bond,7,1,0,8,PFAA precursors_SFAenes_straight_14.0_Unknown_NA_CF2_7_CF3_1_CFX_0,2.7619245,0.2482111
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 215423514 107816900 ...  88808901  43796935  24985098],Other PFASs,Polyfluoroalkanes,4,5,branched,13.0,,Halogen,8,2,1,11,Other PFASs_Polyfluoroalkanes_branched_13.0_Halogen_NA_CF2_8_CF3_2_CFX_1,3.4348397,0.25261578
CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060   3627924 ... 194511214 281920279 151237944],Other PFASs,Amide derivatives,4,6,straight,9.0,,Amine,4,2,0,6,Other PFASs_Amide derivatives_straight_9.0_Amine_NA_CF2_4_CF3_2_CFX_0,3.9910226,0.26269862
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CI,[214631988 104111782  97181807 ... 330153186  14046279 151237944],PFAA precursors,PolyFAenes,2,7,straight,8.0,,Halogen,5,1,0,6,PFAA precursors_PolyFAenes_straight_8.0_Halogen_NA_CF2_5_CF3_1_CFX_0,2.409025,0.2543167
O=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ON1C(=O)CCC1=O,[250618452  80780619  97181807 ...   8587256 281920279 151237944],"Polyfluoroalkyl acids, cyclic","PolyFCA derivatives, cyclic",3,8,cyclic,,5.0,Ester,3,1,0,4,"Polyfluoroalkyl acids, cyclic_PolyFCA derivatives, cyclic_cyclic_NA_Ester_5.0_CF2_3_CF3_1_CFX_0",3.199893,0.25686952
O=CC(F)(F)C(F)(F)C(F)(F)C(F)F,[250618452 429712812 107816900 ... 286019159 240371511 151237944],Other PFASs,others,4,9,straight,5.0,,Aldehyde,4,0,0,4,Other PFASs_others_straight_5.0_Aldehyde_NA_CF2_4_CF3_0_CFX_0,1.9040138,0.24016786
CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,10,straight,18.0,,Halogen,7,1,0,8,Other PFASs_Polyfluoroalkanes_straight_18.0_Halogen_NA_CF2_7_CF3_1_CFX_0,2.9589684,0.25228974
[N-]=[N+]=NCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[207361274  33988699  97181807 ...  16631887  43796935 151237944],Other PFASs,others,4,11,straight,11.0,,Amine,7,1,0,8,Other PFASs_others_straight_11.0_Amine_NA_CF2_7_CF3_1_CFX_0,3.8553574,0.25494105
O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[ 58689828 196028059 144793530 ... 291378977 101296679  36136210],PFAAs,PFECAs,1,12,straight,6.0,,Carboxylic Acid,4,1,0,5,PFAAs_PFECAs_straight_6.0_Carboxylic Acid_NA_CF2_4_CF3_1_CFX_0,2.4702587,0.21476528
