行标签,"(Hg,Sn,Ge,Sb,Se,B) PFASs",Acid chloride,Amide derivatives,"Amide derivatives, cyclic",Aromatic PFASs,HFCs,"HFCs, cyclic",HFEs,"HFEs, cyclic",HFOs,n:1 FTOHs,"n:1 FTOHs, cyclic",n:2 fluorotelomer-based substances,"n:2 fluorotelomer-based substances, cyclic",Not PFAS by current definition,others,"others, cyclic",PACFs,"PACFs, cyclic",PAECFs,"PAECFs, cyclic",PASF-based substances,"PASF-based substances, cyclic",PASFs,"PASFs, cyclic",Perfluoroalkanes,"Perfluoroalkanes, cyclic",Perfluoroalkylethers,"Perfluoroalkylethers, cyclic",Perfluoroalkyl-tert-amines,"Perfluoroalkyl-tert-amines, cyclic",PFACs,PFAenes,"PFAenes, cyclic",PFAIs,PFAK derivatives,"PFAK derivatives, cyclic",PFAKs,PFALs,PFAS derivatives,PFCA-anhydrides,PFCA-ester derivatives,"PFCA-ester derivatives, cyclic",PFCAs,PFdiCAs,PFECAs,"PFECAs, cyclic",PFESAs,PFPAs,PFPEs,"PFPEs, cyclic",PFPIAs,PFSA derivatives,"PFSA derivatives, cyclic",PFSAs,"PFSAs, cyclic",PFSIAs,PolyFAC derivatives,"PolyFAC derivatives, cyclic",PolyFACs,PolyFAenes,"PolyFAenes, cyclic",PolyFCA derivatives,"PolyFCA derivatives, cyclic",PolyFCAs,"PolyFCAs, cyclic",PolyFEACs,"PolyFEACs, cyclic",PolyFEAenes,"PolyFEAenes, cyclic",PolyFECAs,PolyFESAs,Polyfluoroalkanes,"Polyfluoroalkanes, cyclic",PolyFSA derivatives,PolyFSAs,SFAenes,SFAs,Si PFASs,"Si PFASs, cyclic",Sulfonyl chloride
Alcohol,1,,8,1,32,,,,,,15,1,35,,,52,1,,,,,45,,,,,,,,,,3,,,,7,,,,,,,,,,,,,,2,,,,,,,,26,3,77,,,,,,,45,2,,,,,,,,,,,,,
Aldehyde,,,,,8,,,,,,,,6,,,9,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amine,1,,75,11,212,,,,,,,,3,,,65,10,,,,,65,11,,,,,,,6,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,
Aromatic,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carboxylic Acid,,,13,1,74,,,,,,,,9,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,64,4,23,1,,,,,,,,,,,,,,,,56,2,26,4,,,,,7,,,,,,,,1,,
Disulfide,,,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double bond,,,,,,,,,,18,,,,,,9,2,,,,,,,,,,,,,,,,32,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,43,3,,,,,,,,,,,,,,,37,,,,
Ester,,,4,,78,,,,,,,,51,5,1,9,4,,,,1,42,4,,,,,,,,,,,,,,,,,,6,37,1,,,,,,,,,,1,1,,,,,,,,,236,14,,,,,,,,,,,,,,,8,,
Ether,,,4,2,107,,,51,29,,,,,,,37,30,,,15,1,6,3,,,,,10,13,,,,,,,9,1,,,,,,,,,,,3,,61,11,,,,,,,,,,,,,,,,,,19,1,,2,,,,,,,6,,
